dewtemp,MSL,Q_1000,Q_850,Q_925,R_1000,R_850,R_925,T_1000,T_850,T_925,temperature,uv_10m,time,visia
0.24,1022.99,3.3,2.01,3.1,54.36,46.63,68.91,6.46,-0.65,1.22,7.03,1.02,2016011417,3866
1.5,1023.54,3.6,2.9,3.38,63.75,74.57,75.26,5.49,-1.83,1.2,5.67,1.18,2016011420,2981
2.29,1023.81,4.02,3.16,3.73,76.22,85.13,85.76,4.58,-2.44,0.8,4.95,1,2016011423,2295
2.93,1022.38,4.2,2.54,3.86,80.16,70.63,85.89,4.5,-3.03,1.22,4.49,0.84,2016011502,1555
2.83,1021.13,4.25,1.61,3.54,82.31,46.31,80.95,4.36,-3.34,0.89,4.19,0.48,2016011505,1381
3.45,1022.3,4.26,1.94,2.56,82.8,55.58,59.42,4.33,-3.14,0.65,4.01,1.07,2016011508,1572
0,1022.5,3.53,2.33,3.07,57.88,62,70.13,6.63,-2.23,0.56,8.83,1.17,2016011511,5100
-0.39,1019.58,3.47,2.81,3.39,50.63,78.13,71.17,8.37,-2.82,2.11,10.16,0.39,2016011514,5716
1.66,1019.68,3.54,2.79,3.47,50.84,78.5,70.18,8.64,-2.87,2.65,8.33,1.25,2016011517,6121
0.25,1020.82,3.32,2.32,3.9,49.61,54,75.61,7.99,-0.56,3.11,5.52,2.14,2016011520,3677
-0.06,1021.06,3.3,1.93,4.1,55.42,43.41,82.85,6.48,0.32,2.78,4.45,1.43,2016011523,3897
-0.12,1021.25,3.3,1.72,3.84,57.36,38.04,78.32,5.78,0.53,2.71,3.37,1.57,2016011602,2921
0.56,1021.08,3.52,1.53,3.51,66,33.63,70.38,4.75,0.52,2.79,3.29,0.73,2016011605,2583
1.72,1021.84,3.74,1.26,3.33,74.62,26.38,67.53,3.75,1.35,2.7,2.7,0.75,2016011608,409
4.06,1021.37,4.54,1.47,3.7,70.17,28.4,71.77,7.5,2.08,3.08,9.47,1.37,2016011611,2515
4.79,1018.15,4.91,3,4.79,62.84,51.63,87.28,10.19,3.59,4.03,11.72,3.14,2016011614,3109
2.99,1017.67,4.67,4.75,4.84,67.15,87.88,83.13,8.43,2.69,4.94,8.62,3.73,2016011617,4355
2.75,1016.02,4.52,5.34,5.04,69.5,91.63,79.75,7.7,3.63,6.04,7.8,3.77,2016011620,4254
4.86,1016.13,5.12,5.74,5.34,81.49,99.75,84.69,7.2,3.46,6,7.47,1.82,2016011623,1715
5.64,1014.9,5.49,6.08,5.54,92.11,99.54,90.42,6.36,4.32,5.49,6.85,1.91,2016011702,696
6.07,1014.16,5.63,6.04,5.57,95,99.76,94.74,6.24,4.15,4.89,6.79,1.62,2016011705,999
5.39,1015.83,5.45,4.9,5.15,96.83,99.79,99.89,5.42,1.21,3.15,6.15,4.29,2016011708,1244
4.89,1017.93,5.12,4.12,4.31,93.18,99.8,99.95,5.09,-1.09,0.6,6.14,4.56,2016011711,2727
3.55,1016.78,4.67,3.77,4.11,81.25,97.38,97.88,5.69,-1.94,0.26,7.1,4.78,2016011714,5541
2.28,1017.87,4.4,3.12,4.08,73.25,87.75,95.13,6.36,-3.08,0.6,7.12,3.42,2016011717,3557
2.6,1019.66,4.37,2.69,3.53,76.88,77.75,77.63,5.63,-3.4,1.32,4.83,2.43,2016011720,3638
1.8,1020.65,4.07,2.33,3.14,73.13,67.68,67.3,5.39,-3.38,1.73,3.83,2.25,2016011723,4153
0.32,1020.72,3.9,2.33,3.25,74.88,64.88,75.25,4.3,-2.87,0.69,1.49,2.08,2016011802,3242
-0.18,1021.22,3.9,1.93,3.28,87.63,48.75,79.25,2.15,-1.6,0.1,0.81,2.05,2016011805,1657
1.25,1023.7,3.95,2.08,3.46,93.75,58.38,90.88,1.4,-3.01,-1.04,2.83,2.59,2016011808,1321
1.37,1024.82,3.94,1.58,3.53,80.5,43.63,98.63,3.46,-2.68,-1.79,5.65,3.35,2016011811,1306
0.05,1023.57,3.55,2.24,3.51,63.88,71.13,91,5.31,-4.56,-0.85,6.98,4.17,2016011814,1559
-0.77,1025.2,3.42,2.41,3.29,64.5,78.63,87.25,4.58,-4.84,-1.17,5.71,4.01,2016011817,1962
-1.63,1027.83,3.22,1.64,3.05,73.56,50.95,95,1.92,-4.23,-3.25,3.26,3.63,2016011820,1851
-3.02,1029.18,2.81,0.51,2.71,72,16.63,92.5,0.31,-5.02,-4.48,1.57,2.82,2016011823,2092
-4.19,1029.53,2.38,0.35,1.93,69.02,12.13,73.59,-1.38,-5.68,-5.7,-0.77,1.97,2016011902,3640
-5.44,1029.78,2.12,0.27,1.38,66.25,9.63,59.13,-2.22,-5.99,-6.65,-3.1,1.75,2016011905,3629
-4.32,1031.64,2.14,0.32,1.5,65.05,12.25,65.43,-1.98,-6.45,-6.92,-0.72,0.88,2016011908,2917
-5.81,1032.13,1.93,0.23,1.83,51.38,7.5,73.5,-0.11,-5,-6.18,3.1,1.72,2016011911,5790
-5.83,1029.14,1.99,0.51,1.93,45,17.5,64.42,2,-5.45,-4.13,4.91,2.69,2016011914,6490
-8,1030.25,1.72,0.63,1.61,39.63,20.63,53.88,1.71,-5.11,-4.22,3.02,2.9,2016011917,6881
-6.39,1031.69,1.78,0.28,1.31,46.13,8.13,46.5,0.15,-3.71,-4.81,-0.26,2.39,2016011920,6165
-6.14,1033.06,1.79,0.18,1.21,48.13,5.13,42.75,-0.51,-3.4,-5,-1.91,2.08,2016011923,6517
-5.37,1032.72,2.19,0.14,1.25,62.88,3.63,44.25,-1.21,-2.03,-4.84,-2.51,2.04,2016012002,5391
-4.78,1032.7,2.27,0.18,1.35,70.25,4.63,52.5,-2.24,-2.14,-5.76,-1.66,2.37,2016012005,5040
-5.49,1033.43,2.08,0.5,0.61,63.47,11.5,23.56,-2.2,-1.65,-5.81,-0.66,2.23,2016012008,9356
-3.13,1032.92,2.59,1.11,2.42,67.5,26.5,93.75,0.18,-1.64,-5.83,3.53,3.34,2016012011,8960
-2.29,1029.8,2.9,2.33,2.85,64.86,60.13,93.25,2.22,-1.91,-3.84,4.76,4.23,2016012014,8917
-1.48,1028.8,3.22,3.13,2.98,73,87.25,91.13,2.07,-2.98,-2.93,3.92,3.63,2016012017,8658
0.6,1028.89,3.66,3.16,3.18,90.67,96.13,96.25,0.81,-4.05,-2.88,2.35,2.66,2016012020,14119
0.67,1030.2,3.7,3.04,3.26,98.75,97,97.38,-0.22,-4.6,-2.77,1.1,3.13,2016012023,2634
0.21,1028.15,3.64,3.34,3.32,99.42,97.13,97.88,-0.63,-3.52,-2.58,0.8,3.35,2016012102,920
-0.03,1028.3,3.57,3.25,3.2,99.25,96.38,97.5,-0.83,-3.74,-3.06,0.66,3.39,2016012105,2426
0.05,1029.1,3.54,3.14,3.14,98.75,96.75,98,-0.87,-4.2,-3.27,0.69,3.54,2016012108,920
0.28,1029.72,3.63,2.99,3.05,96.63,95.88,98,-0.21,-4.72,-3.64,1.64,4,2016012111,1990
0.85,1027.52,3.74,2.9,3,97,96.25,97.5,0.15,-5.1,-3.79,1.66,3.36,2016012114,1878
1.04,1028.4,3.81,2.76,3.04,99.38,96,97.13,0.05,-5.65,-3.63,1.18,2.43,2016012117,1724
0.66,1029.67,3.73,2.75,3.14,99.38,97.75,98.5,-0.21,-5.88,-3.3,0.76,2.4,2016012120,1925
0.73,1030.39,3.72,2.75,3.2,99.88,97.38,97.63,-0.27,-5.88,-2.95,0.84,2.9,2016012123,1237
0.13,1028.94,3.53,2.84,3.21,94.13,92.88,95,-0.24,-4.94,-2.63,0.72,2.57,2016012202,2241
-0.48,1028.35,3.38,2.81,3.19,89.25,97.75,95.88,-0.09,-5.68,-2.85,0.98,3.15,2016012205,2565
-0.07,1030.15,3.45,2.75,3.18,90.38,97.63,97.63,0.01,-5.92,-3.08,1.19,2.99,2016012208,1370
1.01,1031.05,3.73,2.72,3.23,98.25,95.75,98.25,-0.09,-5.8,-2.94,1.45,3.13,2016012211,677
1.4,1028.81,3.87,2.69,3.19,99.38,99,97.63,0.25,-6.31,-3.07,1.59,3.77,2016012214,1062
1.07,1030.37,3.81,2.55,3.05,99.88,96.88,97.63,0.03,-6.71,-3.61,1.17,3.83,2016012217,1594
0.72,1033.55,3.67,2.5,2.93,99.25,97.13,97.38,-0.42,-6.95,-4.08,0.95,5.31,2016012220,1549
-0.21,1036.13,3.41,2.27,2.7,97.63,97.63,97.5,-1.2,-8.11,-5.12,0.69,6.07,2016012223,1276
-1.27,1036.79,3.11,1.93,2.4,94.75,92.75,94.13,-1.97,-9.41,-6.03,-0.03,5.67,2016012302,1676
-2.85,1036.61,2.84,1.59,2.09,93.25,82.25,87.25,-2.91,-10.15,-6.77,-1.31,4.34,2016012305,3024
-2.81,1038.73,2.75,1.6,2.14,91,96.88,99.38,-3.01,-11.9,-8.11,-0.83,4.62,2016012308,2518
-8.54,1041.23,1.76,1.15,1.6,67.38,84.38,93.63,-4.87,-13.96,-10.57,-1.39,6.67,2016012311,10446
-13.68,1037.78,1.01,0.88,0.99,34.88,77.13,53,-3.57,-15.68,-9.64,0.01,6.34,2016012314,20386
-14.2,1037.47,1.04,0.71,1,35.63,57.38,52.5,-3.57,-14.81,-9.48,-1.4,4.04,2016012317,14109
-12.37,1040.5,1.13,0.79,1,44.5,72.75,58.13,-5.18,-16.29,-10.53,-3.75,2.73,2016012320,10977
-14.09,1041.28,1,0.76,0.89,39.38,70.88,52.25,-5.21,-16.57,-10.71,-3.72,3.73,2016012323,10875
-15.74,1039.37,0.86,0.44,0.65,34.25,43,39.63,-5.39,-17.09,-11.13,-3.82,4.37,2016012402,11563
-17.7,1039.97,0.71,0.52,0.65,31.5,58.88,45.5,-6.49,-18.4,-12.35,-4.7,5.24,2016012405,13789
-20.78,1043.23,0.57,0.34,0.48,30.88,42.88,41.63,-9.08,-19.79,-14.88,-6.15,6.39,2016012408,11137
-19.73,1043.94,0.5,0.43,0.48,26.25,59.5,40.25,-8.53,-20.53,-14.53,-4.27,8.09,2016012411,11764
-18.83,1040.44,0.56,0.51,0.54,25.71,62,39.38,-7.05,-19.2,-13.06,-3.16,8.04,2016012414,19159
-19.33,1040.97,0.64,0.38,0.62,28.47,39.5,43.75,-6.71,-17.7,-12.63,-4.34,5.62,2016012417,18364
-18.29,1042.74,0.68,0.21,0.61,32.75,15.5,44.5,-7.52,-13.95,-13.1,-5.88,2.8,2016012420,17113
-15.82,1042.74,0.71,0.38,0.53,33.5,23.75,35.38,-7.31,-12.17,-12.03,-6.87,1.76,2016012423,17571
-15.47,1041.43,0.71,0.39,0.54,32.25,23.5,33.25,-6.85,-11.85,-11.23,-5.5,0.95,2016012502,18034
-15.23,1039.12,0.7,0.34,0.43,31,18.38,23,-6.57,-10.81,-9.51,-5.36,0.65,2016012505,17806
-16.1,1040.18,0.71,0.31,0.39,33.38,16.13,19.5,-7.19,-10.06,-8.56,-4.97,1.98,2016012508,14677
-14.98,1039.71,0.83,0.28,0.36,28.63,12.38,15.5,-3.44,-8.82,-7.17,0.31,2.94,2016012511,20158
-13.19,1035.26,0.96,0.23,0.93,25.13,10,36.5,0.18,-7.62,-5.93,3.35,2.03,2016012514,18657
-12.78,1034.18,1.03,0.24,0.96,24.38,9.75,32.38,1.35,-6.64,-4.34,2.4,0.63,2016012517,19069
-12.82,1035.1,1.05,0.19,0.86,26.38,6.38,28.25,0.58,-4.98,-4.19,-1.93,0.74,2016012520,14450
-10.37,1035.23,1.09,0.17,0.76,29,5.25,24.45,0.05,-4.34,-3.6,-4.28,1.64,2016012523,10335
-9.79,1034.22,1.22,0.15,0.64,33.13,4.63,19.63,-0.32,-4.46,-2.78,-4.66,1.54,2016012602,12568
-9.53,1033.08,1.32,0.15,0.65,36.25,4.63,19.38,-0.74,-3.7,-2.46,-4.46,1.38,2016012605,10218
-8.49,1034.14,1.42,0.13,0.61,42.38,3.5,17.5,-1.41,-1.79,-2.23,-2.64,1.6,2016012608,9780
-7.61,1034.03,1.68,0.16,0.58,41.1,3.88,16.18,0.92,-1.07,-1.93,4.14,1.22,2016012611,11001
-6.84,1029.72,1.76,0.18,1.37,33.66,4.5,35.55,4.32,-0.36,-1.31,6.76,0.83,2016012614,20953
-2.92,1030.44,1.95,0.24,1.58,36.9,5.63,37.75,4.77,-0.32,0.08,3.29,2.05,2016012617,13835
-4.12,1030.87,2.05,0.49,1.37,41.14,11,31.63,4.1,0.21,1.33,0.8,2.07,2016012620,6429
-3.36,1030.52,1.96,0.88,1.23,40,19,26.5,4.07,0.55,2.16,0.75,0.79,2016012623,6502
-2.87,1029.26,1.94,1.39,1.49,39,28.5,29.38,4.37,1.15,3.12,0.42,0.87,2016012702,8709
-2.53,1028.02,2.02,2.23,1.89,39.3,48.25,37.25,4.28,0.35,3,0.97,0.45,2016012705,8907
-1.53,1029.43,2.89,4.3,3.74,62.75,86.75,73.98,2.81,1.4,2.85,2.36,1.44,2016012708,7704
1.23,1029.99,3.81,5.18,4.34,82.84,92.75,79.9,2.62,3.05,3.86,4.51,0.52,2016012711,6757
3.01,1026.9,4.46,5.96,4.85,88.93,97.84,81.05,3.83,4.29,5.14,5.47,0.88,2016012714,5914
3.81,1026.55,4.69,6.34,5.66,93.03,93.2,87.81,4,5.89,6.29,5.29,1.4,2016012717,2095
2.78,1027.76,4.27,6.36,5.99,93.77,85.25,89.05,2.55,7.2,6.69,3.27,0.79,2016012720,1359
2.75,1027.14,4.36,6.7,6.7,95.77,86.32,92.16,2.58,7.81,8,3.14,0.26,2016012723,1635
3.13,1025.63,4.45,6.87,7.55,95.47,83.66,95.89,3.03,8.63,9.2,3.46,0.73,2016012802,1059
3.13,1022.86,4.58,7.11,7.74,95.16,81.19,88,3.46,9.57,10.87,3.47,0.83,2016012805,1207
3.04,1022.97,4.78,7.77,7.53,96.06,85.79,86.75,3.89,10.02,10.72,3.48,0.3,2016012808,1283
4.74,1023.5,5.06,8.21,6.62,96.32,98.32,88.35,4.57,8.86,8.42,5.49,0.87,2016012811,1580
5.63,1021.17,5.54,8.02,6.99,97.27,98.03,86.28,5.6,8.53,9.62,6.41,1.39,2016012814,2309
5.79,1021.81,5.61,7.84,6.66,97.64,95.81,88.67,5.74,8.58,8.51,6.29,1.28,2016012817,1240
5.07,1022.91,5.34,7.25,6.44,99.51,96.5,91.75,4.84,7.22,7.41,5.33,1.77,2016012820,1457
4.98,1022.76,5.25,6.91,6.37,99.57,90.25,92.17,4.56,7.53,7.16,5.14,1.17,2016012823,2457
4.93,1022.54,5.24,7.07,6.27,99.15,98.13,93.44,4.62,6.68,6.72,5.09,1.34,2016012902,1555
4.99,1022.04,5.28,6.74,6.02,99.56,97.62,95.91,4.67,6.03,5.83,5.14,1.67,2016012905,3067
4.92,1024.01,5.15,6.34,5.17,99.88,97.75,98.88,4.27,5.01,3.27,5.05,3.02,2016012908,8819
4.11,1025.33,4.91,5.74,4.46,99.87,97.78,99.91,3.53,3.65,1.08,4.79,4.21,2016012911,4337
2.96,1024.22,4.56,5.47,4.27,99.06,98.39,99.84,2.55,3,0.52,4.07,4.17,2016012914,4868
2.34,1026.25,4.36,4.59,4,98.05,97.89,99.37,2.08,0.56,-0.34,3.63,3.87,2016012917,3636
2.05,1027.45,4.22,4.34,3.67,92.68,96.08,97.5,2.43,0.15,-1.12,3.66,2.89,2016012920,3936
1.61,1027.94,4.04,4.16,3.46,89.88,91.5,95,2.28,0.15,-1.6,3.61,2.58,2016012923,3848
1.19,1028.01,3.96,3.93,3.53,91.35,93.18,98.25,1.78,-0.87,-1.81,3.03,2.85,2016013002,3749
0.66,1026.94,3.85,4.07,3.57,92.89,87.76,97.65,1.1,0.51,-1.58,2.49,2.78,2016013005,1879
1.1,1028.74,3.89,4.03,3.56,98.48,93.5,99.5,0.45,-0.49,-1.82,2.05,2.46,2016013008,1429
1.27,1030.37,3.88,3.91,3.42,95.65,96.88,98.26,0.82,-1.41,-2.2,3.11,2.92,2016013011,1931
0.93,1028.6,3.77,3.69,3.43,80,94.29,99.42,2.93,-1.79,-2.39,5.35,3.16,2016013014,4069
-0.06,1029.51,3.57,3.64,3.41,72.5,85,98.5,3.51,-0.62,-2.33,5.5,2.14,2016013017,6409
0.21,1030.67,3.61,3.74,3.56,78.67,78.5,99.11,2.63,0.8,-1.78,2.29,2.03,2016013020,4469
-0.17,1031.53,3.46,3.61,3.41,79.13,79.13,98.75,1.94,0.21,-2.34,2.73,2.33,2016013023,4430
-0.11,1033.06,3.52,3.52,3.28,85.75,82.25,99.13,1.02,-0.62,-2.94,2.3,1.47,2016013102,5165
-0.84,1030.62,3.41,3.64,3.14,89.74,75.75,99.63,-0.1,0.97,-3.54,0.94,2.88,2016013105,4710
-0.92,1033.08,3.34,3.61,2.97,91.31,85.75,99.17,-0.61,-0.81,-4.1,1.39,1.55,2016013108,4413
-0.53,1032.23,3.32,3.26,3.02,76.68,81.19,97.82,1.7,-1.49,-3.78,4.98,3.25,2016013111,3660
-1.2,1029.94,3.25,3.01,3.19,68.76,79.44,97.74,2.91,-2.36,-3.09,5.41,4.06,2016013114,3322
0.89,1030.97,3.79,2.88,3.22,93.11,92.94,99.17,0.88,-4.84,-3.21,2.96,2.98,2016013117,855
0.53,1033.2,3.6,2.68,2.9,99.4,95.77,96.87,-0.72,-5.96,-4.12,0.84,4.23,2016013120,928
